category,code,product,strength_per_vial,vial_size,usd_cost_per_vial,aud_cost_per_vial,my_rrp_per_vial_aud,competitor_rrp_per_vial_aud,benefits
Neuropeptides,Q23-5,Oxytocin,5mg,3ml,8.5,12.17,,75,"Neuropeptide; bonding, mood and social behaviour research"
Neuropeptides,Q23-10,Oxytocin,10mg,3ml,13.5,19.33,,110,Higher-dose oxytocin; neuroendocrine studies
Neuropeptides,Q26-5,DSIP,5mg,3ml,5.1,7.3,,55,Sleep-inducing peptide; circadian and sleep architecture research
Neuropeptides,Q26-10,DSIP,10mg,3ml,9.5,13.61,,85,Standard DSIP; delta sleep pathway studies
Neuropeptides,Q27-10,Selank,10mg,3ml,8.8,12.6,,80,Anxiolytic peptide; GABA and stress response research
Neuropeptides,Q27-20,Selank,20mg,3ml,16.7,23.92,,130,Higher-dose selank; cognitive and anxiety research
Neuropeptides,Q28-10,Semax,10mg,3ml,8.8,12.6,,80,Nootropic peptide; BDNF and neuroprotection research
Neuropeptides,Q28-30,Semax,30mg,3ml,23.8,34.09,,175,High-dose semax; cognitive enhancement research
Longevity,Q29-10,Epithalon (Epitalon),10mg,3ml,6.8,9.74,,70,Telomerase peptide; longevity and pineal research
Longevity,Q30-10,MOTS-C (Human),10mg,3ml,10.8,15.47,,90,Mitochondrial peptide; metabolic and exercise capacity research
Longevity,Q30-20,MOTS-C (Human),20mg,3ml,21.7,31.08,,130,Mid-dose MOTS-C; AMPK and insulin sensitivity research
Longevity,Q30-40,MOTS-C (Human),40mg,3ml,39.0,55.86,,165,High-dose MOTS-C; mitochondrial longevity research
Longevity,Q30-50,MOTS-C (Human),50mg,3ml,48.7,69.75,,195,Maximum MOTS-C; advanced metabolic research
Longevity,Y38-5,SS-31 (Elamipretide),5mg,3ml,6.8,9.74,,65,Mitochondrial peptide; oxidative stress and cardioprotection research
Longevity,Y38-10,SS-31 (Elamipretide),10mg,3ml,13.5,19.33,,110,Standard SS-31; mitochondrial membrane research
Longevity,Y38-50,SS-31 (Elamipretide),50mg,3ml,60.9,87.22,,195,High-dose SS-31; advanced mitochondrial research
Immune,Q32-5,Thymosin Alpha-1 (TA-1),5mg,3ml,11.8,16.9,,95,Immune modulator; T-cell and antiviral research
Immune,Q32-10,Thymosin Alpha-1 (TA-1),10mg,3ml,22.0,31.51,,155,Standard TA-1; immune restoration research
Immune,Y23-10,KPV,10mg,3ml,8.5,12.17,,75,Anti-inflammatory tripeptide; gut and skin inflammation research
Bioregulators,Y6-20,Pinealon,20mg,3ml,14.2,20.34,,95,Bioregulator; brain tissue and cognitive ageing research
Bioregulators,Y34-20,Vilon,20mg,3ml,14.2,20.34,,90,Bioregulator; immune system modulation research
Bioregulators,Y41-20,Vesugen,20mg,3ml,13.5,19.33,,90,Bioregulator; vascular and endothelial research
Bioregulators,Y42-20,Testagen,20mg,3ml,16.9,24.2,,95,Bioregulator; testicular tissue and hormonal research
Bioregulators,Y43-20,Chonluten,20mg,3ml,13.5,19.33,,90,Bioregulator; lung and bronchial tissue research
Bioregulators,Y46-20,Livagen,20mg,3ml,16.9,24.2,,95,Bioregulator; liver tissue and detoxification research
Bioregulators,Y47-20,Cardiogen,20mg,3ml,13.5,19.33,,90,Bioregulator; cardiac tissue and cardiovascular research
Bioregulators,Y63-20,Prostamax,20mg,3ml,13.5,19.33,,90,Bioregulator; prostate tissue research
Bioregulators,Y64-20,Cartalax,20mg,3ml,13.5,19.33,,90,Bioregulator; cartilage and joint tissue research
Bioregulators,Y76-20,Pancragen,20mg,3ml,14.2,20.34,,95,Bioregulator; pancreatic tissue research
Bioregulators,Y77-20,Cortagen,20mg,3ml,15.2,21.77,,95,Bioregulator; adrenal and stress-axis research
Bioregulators,Y78-20,Ovagen,20mg,3ml,15.2,21.77,,95,Bioregulator; ovarian tissue research
Blends,TB-5/5,Blend BPC-157 + TB-500,5mg+5mg,3ml,14.2,20.34,,120,Dual repair stack; combined tendon and migration pathways
Blends,TB-10/10,Blend BPC-157 + TB-500,10mg+10mg,3ml,27.1,38.81,,185,Standard repair blend; synergistic tissue recovery research
Blends,BTG-10/10/50,Blend BPC-157 + TB-500 + GHK-Cu,10+10+50mg,5ml,33.8,48.41,,175,"GLOW-style stack; repair, copper peptide and remodelling"
Blends,BTGK-10/10/50/10,KLOW Blend,10+10+50+10mg,5ml,38.9,55.71,,280,"Four-compound stack; repair, skin, and anti-inflammatory research"
Blends,CI-5/5,Blend CJC-1295 + Ipamorelin,5mg+5mg,3ml,15.2,21.77,,120,GH stack; synergistic GH pulse research
Blends,CI-10/10,Blend CJC-1295 + Ipamorelin,10mg+10mg,3ml,28.8,41.25,,195,Standard GH blend; body composition and recovery research
Blends,SS-5/5,Blend Selank + Semax,5mg+5mg,3ml,10.2,14.61,,95,Nootropic-anxiolytic stack; mood and cognition research
Blends,SS-10/10,Blend Selank + Semax,10mg+10mg,3ml,18.6,26.64,,145,Standard selank/semax; neuroprotection research
Blends,SS-15/15,Blend Selank + Semax,15mg+15mg,3ml,27.4,39.24,,195,High-dose neuro stack; advanced cognitive research
Blends,TI-5/5,Blend Tesamorelin + Ipamorelin,5mg+5mg,3ml,20.3,29.07,,155,GH fat-loss stack; visceral fat and GH research
Supplies,Y73-3,Sterile Normal Saline,3ml,3ml,0.5,0.72,,8,Reconstitution diluent; 0.9% sodium chloride
Supplies,Y73-10,Sterile Normal Saline,10ml,10ml,1.0,1.43,,12,Large-volume saline diluent
Supplies,Y74-3,Bacteriostatic Water,3ml,3ml,0.6,0.86,,10,Reconstitution diluent; 0.9% benzyl alcohol
Supplies,Y74-10,Bacteriostatic Water,10ml,10ml,1.1,1.58,,15,Standard BAC water for peptide reconstitution
Supplies,Y74-30,Bacteriostatic Water,30ml,30ml,3.5,5.01,,35,Large-volume BAC water for multi-vial protocols
